iter	Passed	Remaining
467	770	875
468	771	874
469	773	872
470	775	870
471	776	868
472	778	866
473	779	865
474	781	863
475	783	862
476	784	860
477	786	858
478	787	856
479	789	854
480	790	853
481	792	851
482	793	849
483	795	847
484	796	846
485	798	844
486	799	842
487	801	840
488	802	839
489	804	837
490	805	835
491	807	833
492	808	831
493	810	830
494	812	828
495	814	827
496	816	826
497	817	824
498	819	822
499	821	821
500	822	819
501	824	817
502	826	816
503	827	814
504	829	812
505	830	811
506	832	809
507	833	807
508	835	805
509	836	804
510	838	802
511	840	800
512	841	799
513	843	797
514	844	795
515	846	793
516	848	792
517	849	790
518	851	788
519	852	786
520	853	785
521	855	783
522	857	782
523	859	780
524	862	779
525	866	780
526	867	778
527	870	778
528	873	777
529	877	778
530	880	777
531	882	776
532	884	774
533	886	773
534	888	772
535	890	770
536	892	769
537	894	768
538	896	766
539	898	765
540	900	763
541	902	762
542	904	760
543	905	759
544	907	757
545	909	756
546	911	754
547	913	753
548	915	751
549	917	750
550	919	748
551	920	747
552	922	745
553	924	744
554	926	742
555	928	741
556	930	739
557	931	738
558	934	737
559	936	735
560	938	734
561	939	732
562	941	730
563	943	729
564	945	727
565	947	726
566	949	724
567	950	723
568	952	721
569	954	720
570	956	718
571	958	717
572	960	715
573	962	714
574	963	712
575	965	710
576	967	709
577	969	707
578	971	706
579	974	705
580	976	704
581	978	703
582	981	701
583	982	700
584	984	698
585	986	697
586	988	695
587	990	694
588	992	692
589	994	690
590	995	689
591	997	687
592	998	685
593	1000	683
594	1002	682
595	1003	680
596	1005	678
597	1006	676
598	1008	674
599	1010	673
600	1012	672
601	1014	670
602	1015	668
603	1017	666
604	1018	665
605	1020	663
606	1021	661
607	1023	659
608	1024	658
609	1026	656
610	1027	654
611	1029	652
612	1031	651
613	1032	649
614	1034	647
615	1036	646
616	1037	644
617	1039	642
618	1041	640
619	1042	638
620	1043	637
621	1045	635
622	1047	633
623	1048	632
624	1050	630
625	1051	628
626	1053	626
627	1054	624
628	1056	623
629	1057	621
630	1059	619
631	1061	618
632	1063	616
633	1064	614
634	1065	612
635	1067	611
636	1069	609
637	1070	607
638	1072	605
639	1073	603
640	1075	602
641	1076	600
642	1078	598
643	1079	596
644	1081	595
645	1082	593
646	1084	591
647	1085	589
648	1087	588
649	1089	586
650	1091	584
651	1092	583
652	1094	581
653	1095	579
654	1097	577
655	1098	576
656	1100	574
657	1101	572
658	1103	570
659	1104	569
660	1106	567
661	1108	565
662	1110	564
